page_id,page_name,tag_count,tag
180,Green Software Craftsmanship Approaches,0,
181,Native image build (ahead of time compilation) to reduce digital carbon footprint,0,
182,Energy efficiency across programmming languages,0,
184,[GitHub] - Repository template : IaC - Basic Container Apps with Terraform,0,
185,Conclusion,0,
186,Technical takeaways,0,
187,Introduction,0,
189,ADR Template,0,
191,✅ ADR-001 Backlog management tool - Jira [accepted],0,
192,✅ ADR-002 Architecture diagrams tools - draw.io [accepted],0,
193,✅ ADR-003 Git repositories - GitHub [accepted],0,
194,✅ ADR-004 CI/CD tools - GitHub Actions [accepted],0,
195,✅ ADR-005 Artifact registry - GitHub Packages [accepted],0,
196,✅ ADR-006 Azure Architecture template [accepted],0,
197,✅ ADR-007 Azure Landingzone Infra,0,
198,✅ ADR-008 CI/CD Runner - GitHub hosted runner [accepted],0,
200,✅ ADR-009 Accelerators 2025 [accepted],0,
201,"ADR-010 .NET Template - .NET 8, Modular Monolith",0,
202,"[GitHub] - Repository template : Backend - .NET 8, Modular Monolith",0,
203,🔄 ADR-011 Jira hosting solution,0,
204,✅ ADR-012 GitHub organizations,0,
205,ADR-013 GitHub Packages cleanup policy,0,
206,Commercialization of Open-Source Libraries: How to Approach,0,
211,Initial Architecture,0,
212,Integration Strategy,0,
213,✅ ADR-014 Automapper and Mediatr in template,0,
215,🔄 ADR-015 Standard branching strategy,0,
216,✅ ADR-016 Developer portal - Horizon,0,
217,✅ ADR-017 Automation engine,0,
218,ADR-018 Support,0,
221,Automapper/Mediatr - Cegeka Enterprise License,0,
222,API Security,0,
223,API Design,0,
225,API Testing,0,
226,API Linting,0,
227,API First,0,
228,API Health,0,
229,Team,0,
230,DevOps Team Autonomy,0,
231,Measure platform success,0,
232,SPACE Framework,0,
233,Platform capabilities (CNCF),0,
235,Radar,0,
236,Market,0,
237,Reference Architecture,0,
238,Battle Cards,0,
239,MSG Contracts,0,
240,API Authentication,0,
241,DevSecOps - Foundation Phase,0,
242,Templates,0,
243,Cookbooks,0,
244,Landing Zones,0,
246,API Development,0,
247,"Strategic Application Development: When to Build, When to Buy",0,
248,Different Types of Application Development,0,
249,Cegeka's agile way of working,0,
250,Tools,0,
251,Tools - Security,0,
252,MSG Brokers,0,
253,Logic Apps vs Functions,0,
254,Choosing a Messaging Service,0,
255,API Policy,0,
256,API Portals,0,
257,What approaches do we use for data cloning to non production environments,0,
259,The 5 Main Pillars of the STELLAR Project,0,
260,"How the Pillars Tie into the ""STELLAR"" Name",0,
261,AI Infusion for architects & business analysts during analysis phase,0,
262,AI Infusion expertise for architects & senior developers (specialists),0,
263,AI Infusion for sales excellence,0,
264,AI enablement for developers,0,
265,AI enablement for proxies,0,
267,AI enablement for project lead & program managers,0,
268,Industrialization for developers,0,
269,Industrialization for architects,0,
270,Industrialization for project leads & program managers,0,
271,"Industrialization for sales, pre-sales and marketing",0,
272,AI Governance in STELLAR,0,
273,STELLAR Program Governance & Execution Oversight,0,
274,"Create industrialization toolchain for scalable, secure, and compliant delivery",0,
275,Capabilities - PLAN,0,
277,Building Blocks,0,
278,✅ ADR-019 Jira site per customer,0,
280,Ideas,0,
281,OLD - Jira Automation,0,
282,Self service overview,0,
283,Review iAccount Q8 - 12/8/2025,0,
284,Industrialization,0,
285,Actors,0,
286,Quality Assurance,0,
287,Security by Design,0,
288,Training,0,
289,Stellar Motivation,0,
290,AI Enablement,0,
291,Governance,0,
292,AI Infusion,0,
293,Stellar Archimate Intro,0,
294,Plan,0,
295,Analyse,0,
296,Design,0,
297,Develop,0,
298,Deploy,0,
299,Maintain,0,
300,Decomission,0,
301,Application Security Status,0,
302,🔄 ADR-020 .NET Servicebus library,0,
303,Review FBZ Core / Indufed PROPOSAL - 10/09/25,0,
305,Overzicht Data & AI Projecten,0,
306,Data & AI Sync,0,
307,Contactpersonen,0,
308,Presales,0,
309,Solutions,0,
310,[Plan] Requirement gathering techniques,0,
311,[Plan] Non-functional requirements,0,
312,Architecture,0,
313,npm debug and chalk packages compromised,0,
314,180+ npm packages affected by The “Shai‑Hulud” npm Credential Theft,0,
315,[Release] Immutable releases,0,
316,Security Advisory Procedure,0,
317,[GitHub] - Github organisation,0,
318,[Build] Branching strategy,0,
319,[Release] Branch & tag protection rules,0,
320,Migrate organisation to Cegeka Github enterprise,0,
321,Github Copilot Champions,0,
322,Werkplekken,0,
323,Customer Challenges: Accelerating Their Digital Business,0,
324,Customer Challenges: Avoiding the Risks of Poorly Maintained Applications,0,
325,Application Modernization Strategies,0,
327,[Deploy] SemVer,0,
328,Benefits of Application Modernization,0,
329,Our Approach,0,
330,3 Levels of Advisory Services,0,
333,Azure Infrastructure,0,
334,Software Components,0,
335,Security Setup,0,
336,Backups,0,
337,Known Issues & History,0,
338,Monitoring & Support,0,
339,Roadmap,0,
340,Application Foundation,0,
341,Code Review Services,0,
342,Sales Presentations,0,
343,Reference Cases (wip),0,
344,GitHub Enterprise - Cegeka Managed,0,
345,Jira Enterprise - Cegeka Managed,0,
346,Sonarqube Cloud Enterprise - Cegeka Managed,0,
347,Snyk - Cegeka Managed,0,
348,Artifact Management - Idea - Not in scope for 2025,0,
349,Monitoring & Observability - Idea - Not in scope for 2025,0,
350,[Azure] Azure Landingzone,0,
351,MassTransit,0,
352,MCP Server,0,
353,Cegeka Portfolio,0,
354,[Code] Azure naming convention,0,
355,Open Source Integration,0,
356,IT Strategy Roadmap in Practice,0,
357,Creating an Application Modernization Plan in Practice,0,
358,✅ ADR-021 Authentication to GitHub API - Single GitHub App,0,
359,🤖 State of JS,0,
360,🤖 Front-end Accelerator,0,
361,⚡️ Best Practices,0,
362,⚡️ Most common Front-end problems,0,
363,🤖 Blueprints,0,
364,🤖 MCP-clients in webapps,0,
365,API Access,0,
366,⚡️ Developer roadmap,0,
367,🔄 ADR-022 SonarQube license - in progress,0,
370,Learning Resources,0,
371,Azure Messaging,0,
372,MSG Patterns,0,
373,Encryption Fundamentals,0,
374,Vendor Selection Process,0,
375,Support Process,0,
376,Experts,0,
377,Training,0,
378,Demo,0,
379,Experts,0,
380,Experts,0,
381,Experts,0,
382,AI Infusion Use Case Development Framework (AI-UCDF),0,
383,🚀  Project Modernization: PSA,0,
386,⚡️ DRAFT The 2026 AI & Front-End Evolution Log,0,
387,🤖 Vibe coding platforms,0,
389,Customer Challenges: Incorporate AI in SDLC to Boost Efficiency,0,
390,AI Engagement In Practice,0,
391,🤖 FIGMA AI tools overview,0,
392,Security & Privacy,0,
393,When to use or not use Apache Kafka?,0,
395,Toerisme Vlaanderen - Single Digital Entrypoint,0,
396,Capabilities - CURRENT STATUS + License Cost,0,
397,Practical Patterns and Antipatterns for AI-augmented coding,0,
398,Review Contassur 14/01/2026,0,
399,🚀 DRAFT Project Modernization: Wegwijs,0,
400,Stellar AI Enablement Tool Selection,0,
401,Github Copilot Credits,0,
403,Value-Driven Steering with STELLAR Philosophy,0,
404,Measure Business Value,0,
405,Project aanpak,0,
406,🚀 Project Modernization: VnV,0,
408,CAP RACI - draft,0,
409,AI Native IT,0,
410,Approval flow for new AI tools,0,
411,Cegeka Policy for Responsible Use of Generative AI,0,
412,Security for AI,0,
414,⚡️ DRAFT Our services: What can we do for you,0,
415,APIM Gateway Patterns,0,
417,Links,0,
418,Public Certificate Validity Periods,0,
419,Legal,0,
420,Review VO AJH Dossierbehandelingssysteem -,0,
438,MCP code block,0,
439,MCP code block,0,
440,MCP code block,0,
441,MCP code block,0,
443,MCP code block,0,
444,MCP code block,0,
448,MCP code block,0,
449,MCP code block,0,
450,MCP code block,0,
451,MCP code block,0,
452,Introductie & Doelstellingen (Human Input Page),0,
455,Organisatorische Structuur (Human Input Page),0,
456,Rollen & Verantwoordelijkheden (Human Input Page),0,
457,Governance Processen (ITIL/COBIT/SIAM) (Human Input Page),0,
458,Steering & Rapportering (Human Input Page),0,
459,RACI Modellen (Human Input Page),0,
460,Beleidsdocumenten & Standaarden (Human Input Page),0,
461,Templates & Artefacten,0,
462,Compliance & Audits (Human Input Page),0,
463,Referentiedocumenten (Human Input Page),0,
464,G1 Business Requirement Document (BRD),0,
465,G2. Requirements Traceability Matrix (RTM),0,
467,Generatie‑handleiding (Agent Guide),0,
468,MCP Prompt‑bibliotheek,0,
469,G3. Requirements Validation Report (RVR),0,
470,Bid Phase Activities & Artefacts – Pre-Sales Architects,0,
472,Governance Agent – Run Center,0,
473,Cegeka Governance Deliverables Agent - Setup,0,
474,Agent Instructions,0,
475,G4. Requirement Change Log (RCL),0,
476,G5. Governance Solution Architecture (GSA),0,
477,G6. Architecture Definition Document (ADD),0,
478,G7. Service Catalog (SC),0,
479,G8. ITSM Portfolio Catalog,0,
480,Request Cegeka Application Platform,0,
481,Azure Landing Zone Prerequisites for Project Stellar,0,
483,🤖 OpenAPI Tooling Overview (2026),0,
485,"[GitHub] - Repository template : Backend - Java, Ports & Adapters",0,
486,FD AI Enablers,0,
487,HTML templates,0,
489,Ontologie UML Model,0,
490,Product Portfolio,0,
491,OpenCode,0,
503,Introduction,0,
505,🤖 Serverless Database platforms,0,
507,API Learning,0,
511,Glossary,0,
512,DRAFT Local LLM development setup Cline / Aider / Continue,0,
513,New Page,0,
